Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
1996,II,Psittaciformes spp.,Aves,Psittaciformes,,,AU,PG,,,2,feathers,,Q,
1996,II,Psittaciformes spp.,Aves,Psittaciformes,,,AU,PG,,,221,specimens,,Q,
1996,II,Psittaciformes spp.,Aves,Psittaciformes,,,DE,PG,,,1,feathers,,P,
1996,II,Psittaciformes spp.,Aves,Psittaciformes,,,GB,PG,,,9,feathers,,P,
1996,II,Psittaciformes spp.,Aves,Psittaciformes,,,NZ,PG,,,1,feathers,,P,
1998,II,Psittaciformes spp.,Aves,Psittaciformes,,,CZ,AU,,11,,eggs,,T,U
1998,II,Psittaciformes spp.,Aves,Psittaciformes,,,NZ,PG,,1,,feathers,,P,U
1998,II,Psittaciformes spp.,Aves,Psittaciformes,,,US,CA,US,1,,live,,,W
1998,II,Psittaciformes spp.,Aves,Psittaciformes,,,US,CR,,1,,feathers,,,W
1998,II,Psittaciformes spp.,Aves,Psittaciformes,,,US,CZ,AU,,22,specimens,flasks,S,U
1998,II,Psittaciformes spp.,Aves,Psittaciformes,,,US,ES,AU,22,,specimens,,T,U
1999,II,Psittaciformes spp.,Aves,Psittaciformes,,,CA,NZ,,,40,feathers,,P,
1999,II,Psittaciformes spp.,Aves,Psittaciformes,,,CA,US,,,1,live,,,W
1999,II,Psittaciformes spp.,Aves,Psittaciformes,,,GB,PG,,,1,feathers,,P,W
1999,II,Psittaciformes spp.,Aves,Psittaciformes,,,JP,NZ,,19,65,live,,T,W
1999,II,Psittaciformes spp.,Aves,Psittaciformes,,,LK,NZ,,,50,live,,T,W
1999,II,Psittaciformes spp.,Aves,Psittaciformes,,,MT,NZ,,,130,live,,T,W
1999,II,Psittaciformes spp.,Aves,Psittaciformes,,,NL,NZ,,,108,live,,T,W
1999,II,Psittaciformes spp.,Aves,Psittaciformes,,,NZ,PG,,,15,specimens,,P,W
1999,II,Psittaciformes spp.,Aves,Psittaciformes,,,ZA,NZ,,,10,live,,T,W
2000,II,Psittaciformes spp.,Aves,Psittaciformes,,,JP,NZ,,,5,live,,T,W
2000,II,Psittaciformes spp.,Aves,Psittaciformes,,,MT,NZ,,,2386,live,,T,W
2000,II,Psittaciformes spp.,Aves,Psittaciformes,,,MT,NZ,,,200,live,,T,
2000,II,Psittaciformes spp.,Aves,Psittaciformes,,,MX,NZ,,,60,live,,T,W
2000,II,Psittaciformes spp.,Aves,Psittaciformes,,,NL,NZ,,,34,live,,T,W
2000,II,Psittaciformes spp.,Aves,Psittaciformes,,,PK,NZ,,,4,live,,T,U
2000,II,Psittaciformes spp.,Aves,Psittaciformes,,,US,NZ,,,6,specimens,,T,W
2001,II,Psittaciformes spp.,Aves,Psittaciformes,,,JP,NZ,,,10,bodies,,T,W
2001,II,Psittaciformes spp.,Aves,Psittaciformes,,,MX,NZ,,,16,live,,T,U
2001,II,Psittaciformes spp.,Aves,Psittaciformes,,,US,AU,,,30,skins,,S,W
2001,II,Psittaciformes spp.,Aves,Psittaciformes,,,US,AU,,,30,specimens,,S,W
2004,I,Psittaciformes spp.,Aves,Psittaciformes,,,US,GB,XX,,46,feathers,,Q,U
2004,II,Psittaciformes spp.,Aves,Psittaciformes,,,NZ,JP,,1,,bodies,,P,W
2004,II,Psittaciformes spp.,Aves,Psittaciformes,,,US,CA,BR,1,,garments,,P,W
2004,II,Psittaciformes spp.,Aves,Psittaciformes,,,US,GB,XX,2,,bodies,,P,W
2004,II,Psittaciformes spp.,Aves,Psittaciformes,,,US,PE,,14,,bodies,,P,W
2004,II,Psittaciformes spp.,Aves,Psittaciformes,,,US,SE,XX,10,,specimens,,S,W
2005,II,Psittaciformes spp.,Aves,Psittaciformes,,,AU,NZ,,,1,eggs,,S,U
2005,II,Psittaciformes spp.,Aves,Psittaciformes,,,US,NZ,,,7160,feathers,,Q,W
2005,II,Psittaciformes spp.,Aves,Psittaciformes,,,US,PE,,4,,feathers,,P,W
2005,II,Psittaciformes spp.,Aves,Psittaciformes,,,US,XX,,1,,feathers,,P,U
2006,II,Psittaciformes spp.,Aves,Psittaciformes,,,AU,NZ,,,2,feathers,,Q,W
2006,II,Psittaciformes spp.,Aves,Psittaciformes,,,NZ,GB,XX,1,,bodies,,P,W
2006,II,Psittaciformes spp.,Aves,Psittaciformes,,,US,PE,,154,,feathers,,P,W
2007,II,Psittaciformes spp.,Aves,Psittaciformes,,,DK,US,XX,1,,feathers,,Q,W
2007,II,Psittaciformes spp.,Aves,Psittaciformes,,,JP,NZ,,,1,bodies,,Q,W
2008,II,Psittaciformes spp.,Aves,Psittaciformes,,,NZ,PG,,18,,feathers,,P,W
2009,I,Psittaciformes spp.,Aves,Psittaciformes,,,US,GB,XX,,32,feathers,,Q,U
2010,II,Psittaciformes spp.,Aves,Psittaciformes,,,US,AU,,,222,specimens,,S,W
2011,II,Psittaciformes spp.,Aves,Psittaciformes,,,EG,SD,XX,,30,live,,P,W
2012,I,Psittaciformes spp.,Aves,Psittaciformes,,,GB,HK,XX,,1,leather products (small),,,
2012,II,Psittaciformes spp.,Aves,Psittaciformes,,,HK,KR,,1,,leather products (small),,,
2013,II,Psittaciformes spp.,Aves,Psittaciformes,,,JP,AU,,2,,skins,,Q,W
